# Energy [keV]	Phase [mm]	ExposureTime[s]
9.000000	2.564700	0.007500
9.175000	2.564700	0.007500
9.350000	2.564700	0.007500
9.525000	2.564700	0.007500
9.700000	2.564700	0.007500
9.700000	2.564700	0.007500
9.712000	2.564700	0.007500
9.724000	2.564700	0.007500
9.736000	2.564700	0.007500
9.748000	2.564700	0.007500
9.760000	2.564700	0.007500
9.772000	2.564700	0.007500
9.784000	2.564700	0.007500
9.796000	2.564700	0.007500
9.808000	2.564700	0.007500
9.820000	2.564700	0.007500
9.832000	2.564700	0.007500
9.844000	2.564700	0.007500
9.856000	2.564700	0.007500
9.868000	2.564700	0.007500
9.880000	2.564700	0.007500
9.892000	2.564700	0.007500
9.904000	2.564700	0.007500
9.916000	2.564700	0.007500
9.928000	2.564700	0.007500
9.940000	2.564700	0.007500
9.952000	2.564700	0.007500
9.964000	2.564700	0.007500
9.976000	2.564700	0.007500
9.988000	2.564700	0.007500
10.000000	2.564700	0.007500
10.012000	2.564700	0.007500
10.024000	2.564700	0.007500
10.036000	2.564700	0.007500
10.048000	2.564700	0.007500
10.060000	2.564700	0.007500
10.072000	2.564700	0.007500
10.084000	2.564700	0.007500
10.096000	2.564700	0.007500
10.108000	2.564700	0.007500
10.120000	2.564700	0.007500
10.132000	2.564700	0.007500
10.144000	2.564700	0.007500
10.156000	2.564700	0.007500
10.168000	2.564700	0.007500
10.180000	2.564700	0.007500
10.192000	2.564700	0.007500
10.204000	2.564700	0.007500
10.216000	2.564700	0.007500
10.228000	2.564700	0.007500
10.240000	2.564700	0.007500
10.252000	2.564700	0.007500
10.264000	2.564700	0.007500
10.276000	2.564700	0.007500
10.288000	2.564700	0.007500
10.300000	2.564700	0.007500
10.400000	2.564700	0.007500
10.520000	2.564700	0.007500
10.640000	2.564700	0.007500
10.760000	2.564700	0.007500
10.880000	2.564700	0.007500
11.000000	2.564700	0.007500
11.120000	2.564700	0.007500
11.240000	2.564700	0.007500
11.360000	2.564700	0.007500
11.480000	2.564700	0.007500
11.600000	2.564700	0.007500
11.700000	2.564700	0.007500
11.715000	2.564700	0.007500
11.730000	2.564700	0.007500
11.745000	2.564700	0.007500
11.760000	2.564700	0.007500
11.775000	2.564700	0.007500
11.790000	2.564700	0.007500
11.805000	2.564700	0.007500
11.820000	2.564700	0.007500
11.835000	2.564700	0.007500
11.850000	2.564700	0.007500
11.865000	2.564700	0.007500
11.880000	2.564700	0.007500
11.895000	2.564700	0.007500
11.910000	2.564700	0.007500
11.925000	2.564700	0.007500
11.940000	2.564700	0.007500
11.955000	2.564700	0.007500
11.970000	2.564700	0.007500
11.985000	2.564700	0.007500
12.000000	2.564700	0.007500
12.015000	2.564700	0.007500
12.030000	2.564700	0.007500
12.045000	2.564700	0.007500
12.060000	2.564700	0.007500
12.075000	2.564700	0.007500
12.090000	2.564700	0.007500
12.105000	2.564700	0.007500
12.120000	2.564700	0.007500
12.135000	2.564700	0.007500
12.150000	2.564700	0.007500
12.165000	2.564700	0.007500
12.180000	2.564700	0.007500
12.195000	2.564700	0.007500
12.210000	2.564700	0.007500
12.225000	2.564700	0.007500
12.240000	2.564700	0.007500
12.255000	2.564700	0.007500
12.270000	2.564700	0.007500
12.285000	2.564700	0.007500
12.300000	2.564700	0.007500
12.400000	2.564700	0.007500
12.520000	2.564700	0.007500
12.640000	2.564700	0.007500
12.760000	2.564700	0.007500
12.880000	2.564700	0.007500
13.000000	2.564700	0.007500
13.120000	2.564700	0.007500
13.240000	2.564700	0.007500
13.360000	2.564700	0.007500
13.480000	2.564700	0.007500
13.600000	2.564700	0.007500
13.700000	2.564700	0.007500
13.715000	2.564700	0.007500
13.730000	2.564700	0.007500
13.745000	2.564700	0.007500
13.760000	2.564700	0.007500
13.775000	2.564700	0.007500
13.790000	2.564700	0.007500
13.805000	2.564700	0.007500
13.820000	2.564700	0.007500
13.835000	2.564700	0.007500
13.850000	2.564700	0.007500
13.865000	2.564700	0.007500
13.880000	2.564700	0.007500
13.895000	2.564700	0.007500
13.910000	2.564700	0.007500
13.925000	2.564700	0.007500
13.940000	2.564700	0.007500
13.955000	2.564700	0.007500
13.970000	2.564700	0.007500
13.985000	2.564700	0.007500
14.000000	2.564700	0.007500
14.015000	2.564700	0.007500
14.030000	2.564700	0.007500
14.045000	2.564700	0.007500
14.060000	2.564700	0.007500
14.075000	2.564700	0.007500
14.090000	2.564700	0.007500
14.105000	2.564700	0.007500
14.120000	2.564700	0.007500
14.135000	2.564700	0.007500
14.150000	2.564700	0.007500
14.165000	2.564700	0.007500
14.180000	2.564700	0.007500
14.195000	2.564700	0.007500
14.210000	2.564700	0.007500
14.225000	2.564700	0.007500
14.240000	2.564700	0.007500
14.255000	2.564700	0.007500
14.270000	2.564700	0.007500
14.285000	2.564700	0.007500
14.300000	2.564700	0.007500
14.400000	2.564700	0.007500
14.600000	2.564700	0.007500
14.800000	2.564700	0.007500
15.000000	2.564700	0.007500
